RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WAR,next-page,next-page-href,next-next-page,next-next-page-href
"425","Bojan Bogdanovic, SG","BKN","78","23.8","-0.16","-3.93","-4.09","-1.91","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"426","Carlos Boozer, PF","LAL","71","23.8","-1.74","-2.36","-4.10","-1.82","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"85","Darrell Arthur, PF","DEN","58","17.0","-2.08","3.91","1.83","2.63","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/3/sort/RPM"
"407","Spencer Dinwiddie, PG","DET","34","13.4","-2.55","-1.21","-3.76","-0.39","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"153","David West, PF","IND","66","28.7","-1.06","1.00","-0.06","2.68","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/4/sort/RPM"
"162","Victor Oladipo, SG","ORL","72","35.7","1.28","-1.59","-0.31","3.29","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/5/sort/RPM"
"373","Norris Cole, PG","NO/MIA","75","24.4","-1.25","-1.85","-3.10","-0.81","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/10/sort/RPM"
"65","Pau Gasol, PF","CHI","78","34.4","0.85","1.45","2.30","7.71","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"55","Greg Monroe, C","DET","69","31.0","0.37","2.28","2.65","6.49","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"416","Kendrick Perkins, C","CLE/OKC","68","16.9","-4.97","1.06","-3.91","-1.12","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"422","Jose Calderon, PG","NY","42","30.2","-1.27","-2.75","-4.02","-1.28","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"238","Shabazz Napier, PG","MIA","51","19.8","-1.67","0.37","-1.30","0.63","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/6/sort/RPM"
"62","Tyler Hansbrough, PF","TOR","74","14.3","0.67","1.79","2.46","3.08","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
